id,profile,relpath,old_title,new_title,new_filename,duration_s,bpm_pred,bpm_used,key_pred,key_conf,key_used
66,film_scoring,Cinematic Samples (test)\nEUER sOUND - Part_1.wav,nEUER sOUND - Part_1,"nEUER sOUND, --, [FX] - 120BPM, G#m, cinematic/tense","nEUER sOUND, --, [FX] - 120BPM, G#m, cinematic-tense.wav",0.47099773242630383,120.18531976744185,120,G#m,4.205077835896279,G#m
67,film_scoring,Cinematic Samples (test)\Neuer Soundflp.wav,Neuer Soundflp,"Neuer Soundflp, --, [LOOP] - 172BPM, Em, cinematic/tense","Neuer Soundflp, --, [LOOP] - 172BPM, Em, cinematic-tense.wav",4.3359410430839,172.265625,172,Em,3.980638720643622,Em
68,film_scoring,Cinematic Samples (test)\Pauke Atmosferisch Loop.wav,Pauke Atmosferisch Loop,"Pauke Atmosferisch Loop, --, [LOOP] - 133BPM, Fm, cinematic/tense","Pauke Atmosferisch Loop, --, [LOOP] - 133BPM, Fm, cinematic-tense.wav",29.322721088435372,132.51201923076923,133,Fm,3.744248185877701,Fm
69,film_scoring,Cinematic Samples (test)\Phoenix - Piano Chords Loop.wav,Phoenix - Piano Chords Loop,"Phoenix, --, [LOOP] - 133BPM, D#m, cinematic/tense","Phoenix, --, [LOOP] - 133BPM, D#m, cinematic-tense.wav",130.90775510204082,132.51201923076923,133,D#m,4.240651972531144,D#m
70,film_scoring,Cinematic Samples (test)\RYTHM_1_LOOP_Jannek Büngener.wav,RYTHM_1_LOOP_Jannek Büngener,"RYTHM_1_LOOP_Jannek Büngener, --, [LOOP] - 117BPM, Dm, cinematic/tense","RYTHM_1_LOOP_Jannek Büngener, --, [LOOP] - 117BPM, Dm, cinematic-tense.wav",8.338684807256236,117.45383522727273,117,Dm,3.7720656884087314,Dm
71,film_scoring,Cinematic Samples (test)\Selee Loop_IMPACT.wav,Selee Loop_IMPACT,"Selee Loop_IMPACT, --, [LOOP] - 123BPM, Cm, cinematic/tense","Selee Loop_IMPACT, --, [LOOP] - 123BPM, Cm, cinematic-tense.wav",8.230839002267574,123.046875,123,Cm,3.760207145209878,Cm
72,film_scoring,Cinematic Samples (test)\Selee Loop_inpact - Part_1.wav,Selee Loop_inpact - Part_1,"Selee Loop_inpact, --, [LOOP] - 126BPM, Bm, cinematic/tense","Selee Loop_inpact, --, [LOOP] - 126BPM, Bm, cinematic-tense.wav",3.3070975056689345,126.04801829268293,126,Bm,3.7563440460055624,Bm
73,film_scoring,Cinematic Samples (test)\Selee Loop_inpact - Part_2.wav,Selee Loop_inpact - Part_2,"Selee Loop_inpact, --, [LOOP] - 167BPM, D#m, cinematic/tense","Selee Loop_inpact, --, [LOOP] - 167BPM, D#m, cinematic-tense.wav",3.8274603174603175,166.70866935483872,167,D#m,3.7848496606282245,D#m
74,film_scoring,Cinematic Samples (test)\Trumpets.wav,Trumpets,"Trumpets, --, [LOOP] - 126BPM, Em, cinematic/tense","Trumpets, --, [LOOP] - 126BPM, Em, cinematic-tense.wav",53.76498866213152,126.04801829268293,126,Em,4.041380856596097,Em
75,film_scoring,Cinematic Samples (test)\white noise Distorded.wav,white noise Distorded,"white noise Distorded, --, [LOOP] - 103BPM, Dm, cinematic/tense","white noise Distorded, --, [LOOP] - 103BPM, Dm, cinematic-tense.wav",28.889931972789114,103.359375,103,Dm,3.765304136532602,Dm
